id,id,timestamp,timestamp,type,type,prob,phase_amplitude,phase_amplitude,event_idx,prob_gamma
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T02:07:09.980000,2021-09-25T02:07:09.980000,P,P,0.681,1.372288124912302e-06,1.372288124912302e-06,-1,-1.0
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T02:09:01.340000,2021-09-25T02:09:01.340000,P,P,0.487,1.8742904330792955e-06,1.8742904330792955e-06,-1,-1.0
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T02:16:57.180000,2021-09-25T02:16:57.180000,P,P,0.736,1.780244019755628e-06,1.780244019755628e-06,7,0.0010873314245693584
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T02:21:48.960000,2021-09-25T02:21:48.960000,P,P,0.663,1.6109879652503878e-06,1.6109879652503878e-06,-1,-1.0
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T06:56:52.620000,2021-09-25T06:56:52.620000,P,P,0.936,1.2356050547168709e-06,1.2356050547168709e-06,-1,-1.0
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T01:33:30.880000,2021-09-25T01:33:30.880000,S,S,0.63,1.2365115935608628e-06,1.2365115935608628e-06,-1,-1.0
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T01:39:43.680000,2021-09-25T01:39:43.680000,S,S,0.484,1.5982089962562895e-06,1.5982089962562895e-06,2,0.00031328057992674024
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T01:39:44.740000,2021-09-25T01:39:44.740000,S,S,0.407,2.4089233647828223e-06,2.4089233647828223e-06,-1,-1.0
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T01:49:18.400000,2021-09-25T01:49:18.400000,S,S,0.612,1.3873254829377402e-06,1.3873254829377402e-06,-1,-1.0
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T01:58:04.540000,2021-09-25T01:58:04.540000,S,S,0.541,1.5431403426191537e-06,1.5431403426191537e-06,3,0.002569910212528944
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T02:02:50.280000,2021-09-25T02:02:50.280000,S,S,0.471,1.7222247379322653e-06,1.7222247379322653e-06,4,1.9525778079438133e-05
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T02:07:15.580000,2021-09-25T02:07:15.580000,S,S,0.506,1.554443770146463e-06,1.554443770146463e-06,-1,-1.0
AV.PS4A..BH,AV.PS4A..BH,2021-09-25T02:09:06.360000,2021-09-25T02:09:06.360000,S,S,0.321,1.8742904330792955e-06,1.8742904330792955e-06,-1,-1.0
