20190704200608.25,35.7007,-117.4760,11.9,3.40,0
CI.LRL,2019-07-04T18:28:04.898000Z,2019-07-04T18:28:09.168000Z,9.215482736928978e-05,19278.0
PB.B917,2019-07-04T18:28:07.248000Z,2019-07-04T18:28:13.188000Z,3.7804710150805564e-05,9099.8
CI.DTP,2019-07-04T18:28:09.288000Z,2019-07-04T18:28:16.718000Z,4.024155263296692e-05,383.7
CI.WOR,2019-07-04T18:28:09.878000Z,2019-07-04T18:28:17.648000Z,9.345631697378484e-06,71.5
20190704203729.59,35.6433,-117.5390,7.7,1.90,4
CI.TOW2,2019-07-04T20:37:34.608000Z,2019-07-04T20:37:39.308000Z,2.215856261199529e-07,128.8
CI.SLA,2019-07-04T20:37:35.828000Z,2019-07-04T20:37:41.348000Z,2.1216527103639415e-07,13.8
CI.CCC,2019-07-04T20:37:33.748000Z,2019-07-04T20:37:37.678000Z,4.270341054364956e-07,314.4
CI.SRT,2019-07-04T20:37:33.238000Z,2019-07-04T20:37:36.758000Z,5.173735234573541e-07,457.1
CI.JRC2,2019-07-04T20:37:36.988000Z,2019-07-04T20:37:42.898000Z,1.5727604645974462e-07,291.5
PB.B921,2019-07-04T20:37:31.488000Z,2019-07-04T20:37:33.278000Z,9.415063570616523e-07,2171.7
CI.DTP,2019-07-04T20:37:37.818000Z,2019-07-04T20:37:44.238000Z,4.01921782030719e-08,23.5
CI.CLC,2019-07-04T20:37:32.978000Z,2019-07-04T20:37:35.838000Z,4.278000359398426e-07,59.3
CI.WRC2,2019-07-04T20:37:35.598000Z,2019-07-04T20:37:40.378000Z,4.205995548011476e-07,42.0
CI.MPM,2019-07-04T20:37:37.318000Z,2019-07-04T20:37:43.328000Z,9.752333081519955e-08,38.6
CI.LRL,2019-07-04T20:37:33.398000Z,2019-07-04T20:37:36.518000Z,7.730238661393621e-07,2001.2
PB.B918,2019-07-04T20:37:35.048000Z,2019-07-04T20:37:39.318000Z,6.896938758088678e-08,70.1
PB.B917,2019-07-04T20:37:35.848000Z,2019-07-04T20:37:40.608000Z,5.563464191297722e-08,261.0
CI.WBM,2019-07-04T20:37:35.513000Z,2019-07-04T20:37:39.973000Z,8.824128518974462e-07,185.0
CI.WMF,2019-07-04T20:37:39.588000Z,2019-07-04T20:37:47.028000Z,6.08964993487369e-08,46.1
PB.B916,2019-07-04T20:37:39.878000Z,2019-07-04T20:37:47.498000Z,1.901249101817053e-08,24.0
CI.WBS,2019-07-04T20:37:38.818000Z,2019-07-04T20:37:45.608000Z,3.793825627749897e-07,16.2
CI.WCS2,2019-07-04T20:37:37.568000Z,2019-07-04T20:37:43.398000Z,1.917135088926533e-07,29.0
CI.WOR,2019-07-04T20:37:40.108000Z,2019-07-04T20:37:47.568000Z,2.045249382806607e-07,61.9
20190704234233.94,35.7522,-117.5562,3.0,3.90,5
CI.TOW2,2019-07-04T23:42:37.668000Z,2019-07-04T23:42:41.948000Z,4.107047593700782e-05,985967.8
CI.SRT,2019-07-04T23:42:37.388000Z,2019-07-04T23:42:40.678000Z,5.561934069860069e-05,311928.0
CI.DTP,2019-07-04T23:42:43.648000Z,2019-07-04T23:42:51.518000Z,1.2912228668453564e-06,27084.1
CI.LRL,2019-07-04T23:42:39.238000Z,2019-07-04T23:42:43.848000Z,7.537287951226098e-06,9029.2
CI.WRC2,2019-07-04T23:42:38.048000Z,2019-07-04T23:42:41.728000Z,6.342587382731401e-05,268253.1
PB.B916,2019-07-04T23:42:42.238000Z,2019-07-04T23:42:48.948000Z,1.8973669708616522e-06,1149689.1
PB.B918,2019-07-04T23:42:37.468000Z,2019-07-04T23:42:40.668000Z,7.824897653093502e-06,1587587.6
PB.B921,2019-07-04T23:42:37.338000Z,2019-07-04T23:42:40.418000Z,7.47953519329231e-06,5841.5
