id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id
AV.DT1..BH,2021-05-16T14:21:36.360000,P,0.452,9.91718366094574e-07,10,0.0010982489068228,20210516T080000_10
AV.DT1..BH,2021-05-16T15:48:10.740000,P,0.907,2.009558102145093e-06,12,0.0010982489068228,20210516T080000_12
AV.DT1..BH,2021-05-16T08:40:17.960000,S,0.733,1.0187624184254671e-06,4,0.0001392562274901,20210516T080000_4
AV.DT1..BH,2021-05-16T13:30:32.500000,S,0.468,1.180332105832349e-06,-1,-1.0,20210516T080000_-1
AV.DT1..BH,2021-05-16T14:18:54.780000,S,0.831,8.325372959916422e-07,9,0.0034336840438568,20210516T080000_9
AV.DT1..BH,2021-05-16T14:21:57.060000,S,0.732,8.952931125350005e-07,11,0.0010982489068228,20210516T080000_11
AV.DT1..BH,2021-05-16T15:48:30.520000,S,0.654,3.511598151817452e-06,13,0.0051469671319894,20210516T080000_13
AV.DTN..BH,2021-05-16T08:00:00.020000,P,0.416,1.2215980405017035e-06,-1,-1.0,20210516T080000_-1
AV.DTN..BH,2021-05-16T08:26:25.260000,P,0.465,1.3532222737921984e-06,3,0.0010982489068228,20210516T080000_3
AV.DTN..BH,2021-05-16T08:40:05.800000,P,0.449,1.0681621915864523e-06,4,0.0034336840438568,20210516T080000_4
AV.DTN..BH,2021-05-16T13:30:10.960000,P,0.698,1.3501933153747814e-06,6,0.0001392562274901,20210516T080000_6
AV.DTN..BH,2021-05-16T13:48:18.600000,P,0.483,9.32038290102355e-07,-1,-1.0,20210516T080000_-1
AV.DTN..BH,2021-05-16T14:18:44.740000,P,0.951,1.376664727104071e-06,9,0.00169238146019,20210516T080000_9
AV.DTN..BH,2021-05-16T14:21:37.000000,P,0.537,1.3479719882525387e-06,10,0.0030787938450925,20210516T080000_10
AV.DTN..BH,2021-05-16T15:48:11.100000,P,0.965,1.7004616665872163e-06,12,0.0030787938450925,20210516T080000_12
AV.DTN..BH,2021-05-16T13:30:35.040000,S,0.521,2.2596566395804984e-06,-1,-1.0,20210516T080000_-1
AV.DTN..BH,2021-05-16T14:18:55.100000,S,0.582,1.376664727104071e-06,9,0.0097450917995237,20210516T080000_9
AV.DTN..BH,2021-05-16T14:21:56.980000,S,0.465,1.520044975222845e-06,11,0.0030787938450925,20210516T080000_11
AV.DTN..BH,2021-05-16T15:48:31.300000,S,0.61,4.526516477199039e-06,13,0.0010982489068228,20210516T080000_13
AV.HAG..SH,2021-05-16T08:40:05.880000,P,0.973,1.316146835961263e-07,4,0.00169238146019,20210516T080000_4
AV.HAG..SH,2021-05-16T13:25:19.300000,P,0.574,1.346570144278303e-07,5,0.0051469671319894,20210516T080000_5
AV.HAG..SH,2021-05-16T13:30:15.120000,P,0.794,4.019470907223877e-07,6,0.0034336840438568,20210516T080000_6
AV.HAG..SH,2021-05-16T13:48:17.200000,P,0.466,2.1004812822411625e-07,-1,-1.0,20210516T080000_-1
AV.HAG..SH,2021-05-16T13:53:49.260000,P,0.583,4.192363007859967e-07,7,0.0051469671319894,20210516T080000_7
AV.HAG..SH,2021-05-16T14:03:39.800000,P,0.425,2.336028614990937e-07,-1,-1.0,20210516T080000_-1
AV.HAG..SH,2021-05-16T14:13:15.240000,P,0.609,2.81391322687341e-07,8,0.0051469671319894,20210516T080000_8
