time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-05-21T11:05:36.735,1.874,-161.006,55.012,56031.476,0.358,0.289,-0.019,6.0,2,20210521T080000_2
2021-05-21T14:50:58.640,2.356,-161.675,54.905,61000.0,0.965,0.325,-0.111,18.0,3,20210521T080000_3
2021-05-21T15:29:02.926,0.342,-161.609,55.236,19544.461,0.451,0.319,0.025,4.0,4,20210521T080000_4
2021-05-21T15:43:09.421,2.295,-161.027,55.279,61000.0,0.348,0.224,-0.029,9.597,5,20210521T080000_5
2021-05-21T15:43:15.260,3.035,-161.843,55.745,61000.0,0.381,0.254,0.04,5.909,6,20210521T080000_6
2021-05-21T16:26:30.534,1.465,-162.541,54.964,37474.822,1.126,0.325,-0.091,4.0,1,20210521T160000_1
2021-05-21T16:55:24.633,0.861,-162.219,54.904,836.541,0.133,0.347,0.011,5.535,2,20210521T160000_2
2021-05-21T19:31:35.392,1.503,-161.004,55.081,28760.36,0.341,0.301,0.0,8.924,3,20210521T160000_3
2021-05-21T21:43:12.399,1.98,-161.0,55.268,61000.0,0.678,0.301,0.026,15.97,4,20210521T160000_4
2021-05-21T23:33:55.480,1.93,-162.773,54.902,61000.0,1.216,0.299,0.103,7.0,5,20210521T160000_5
2021-05-22T03:41:16.719,1.805,-162.634,54.903,61000.0,0.635,0.351,-0.034,11.0,1,20210522T000000_1
2021-05-22T05:03:47.683,0.369,-161.541,55.275,0.0,0.062,0.381,0.0,4.0,2,20210522T000000_2
2021-05-22T06:12:11.450,1.846,-162.791,55.738,61000.0,0.501,0.107,0.03,5.0,3,20210522T000000_3
2021-05-22T09:06:21.541,1.533,-162.771,54.902,34677.958,0.868,0.406,-0.032,11.0,1,20210522T080000_1
2021-05-22T09:23:31.194,1.401,-162.581,54.903,54340.033,0.281,0.296,0.012,4.794,2,20210522T080000_2
2021-05-22T11:47:48.466,0.293,-161.617,55.242,14290.434,0.525,0.352,0.032,4.0,3,20210522T080000_3
2021-05-22T12:36:25.372,0.877,-162.241,55.033,0.0,0.575,0.356,-0.108,5.678,4,20210522T080000_4
2021-05-22T15:51:28.397,1.512,-161.008,54.902,61000.0,0.838,0.301,-0.081,9.89,5,20210522T080000_5
2021-05-22T16:17:28.652,0.027,-162.265,55.009,0.0,0.289,0.383,0.003,5.061,1,20210522T160000_1
2021-05-22T17:05:59.232,1.315,-161.48,54.904,30682.263,0.375,0.387,0.045,8.958,2,20210522T160000_2
2021-05-22T17:06:17.107,1.387,-161.218,55.17,26143.881,0.144,0.323,0.029,4.363,3,20210522T160000_3
2021-05-22T18:27:57.057,0.324,-162.312,54.904,0.0,0.818,0.489,0.011,5.0,4,20210522T160000_4
2021-05-22T18:30:56.724,1.048,-161.207,55.92,30690.379,0.089,0.327,-0.01,4.074,5,20210522T160000_5
2021-05-22T19:07:20.833,0.381,-161.518,55.397,0.0,0.838,0.469,-0.074,5.0,6,20210522T160000_6
2021-05-22T19:12:56.861,0.736,-161.297,55.256,16018.602,0.0,0.354,0.0,4.0,7,20210522T160000_7
2021-05-22T19:35:41.593,2.647,-161.212,54.903,47838.784,0.313,0.209,0.03,11.0,8,20210522T160000_8
2021-05-22T19:35:50.650,3.173,-161.165,54.903,52472.421,0.859,0.208,-0.007,10.0,9,20210522T160000_9
2021-05-22T19:41:15.987,1.11,-161.222,54.903,28856.477,0.236,0.305,-0.025,6.0,10,20210522T160000_10
2021-05-22T19:41:25.558,1.085,-161.021,54.902,25843.434,0.474,0.263,-0.016,3.69,11,20210522T160000_11
2021-05-22T22:37:06.294,1.146,-161.286,54.903,30741.729,0.365,0.344,-0.007,7.944,12,20210522T160000_12
2021-05-22T22:37:19.046,1.248,-161.002,55.169,32589.673,0.373,0.37,0.058,6.0,13,20210522T160000_13
2021-05-22T23:59:46.561,1.275,-161.512,54.933,61000.0,0.225,0.331,-0.019,6.0,1,20210523T000000_1
2021-05-23T00:08:41.884,1.075,-161.453,54.904,31094.557,0.208,0.261,0.017,6.0,2,20210523T000000_2
2021-05-23T00:08:52.697,1.255,-161.402,54.904,42061.185,0.591,0.264,-0.04,6.0,3,20210523T000000_3
2021-05-23T01:22:49.987,1.565,-161.158,54.903,50064.061,0.256,0.198,0.003,10.0,4,20210523T000000_4
2021-05-23T01:23:00.861,1.43,-161.188,54.903,42095.592,0.332,0.229,-0.001,5.0,5,20210523T000000_5
2021-05-23T02:13:26.796,1.917,-162.296,55.078,61000.0,0.462,0.365,-0.015,9.0,6,20210523T000000_6
2021-05-23T03:56:10.295,2.185,-162.481,54.903,61000.0,1.08,0.299,0.01,20.0,7,20210523T000000_7
2021-05-23T04:28:57.068,1.75,-161.143,54.903,61000.0,0.788,0.181,0.014,5.748,8,20210523T000000_8
2021-05-23T04:29:14.700,0.954,-161.88,54.905,0.0,0.314,0.4,0.011,4.252,9,20210523T000000_9
2021-05-23T04:52:41.127,1.254,-162.511,55.106,61000.0,0.228,0.294,0.007,4.0,10,20210523T000000_10
2021-05-23T05:15:38.614,1.557,-161.785,54.905,52127.083,0.745,0.36,-0.165,13.0,11,20210523T000000_11
2021-05-23T05:39:53.458,2.747,-161.379,54.904,32071.156,0.416,0.356,0.038,11.0,12,20210523T000000_12
2021-05-23T05:40:00.630,3.543,-161.462,54.904,53440.342,0.693,0.279,-0.007,10.0,13,20210523T000000_13
2021-05-23T06:12:40.427,1.757,-162.774,54.984,61000.0,0.567,0.347,0.033,5.075,14,20210523T000000_14
2021-05-23T06:12:41.309,1.816,-161.633,54.905,61000.0,0.743,0.419,-0.069,5.925,15,20210523T000000_15
2021-05-23T07:38:44.925,1.536,-161.615,54.905,61000.0,0.874,0.299,-0.155,13.0,16,20210523T000000_16
2021-05-23T08:01:34.356,0.849,-161.489,54.904,688.398,0.262,0.134,-0.008,4.0,1,20210523T080000_1
2021-05-23T08:01:43.183,1.043,-161.524,54.904,33803.56,0.015,0.238,-0.001,4.0,2,20210523T080000_2
2021-05-23T09:19:17.447,1.739,-162.773,54.902,61000.0,1.231,0.321,-0.088,17.0,3,20210523T080000_3
2021-05-23T12:28:45.976,1.662,-162.619,54.903,61000.0,0.473,0.195,0.015,7.3,4,20210523T080000_4
2021-05-23T15:49:26.065,0.956,-161.006,54.981,1231.521,0.091,0.245,0.001,4.0,5,20210523T080000_5
2021-05-23T15:49:32.278,1.303,-161.255,54.951,61000.0,0.4,0.224,0.015,5.0,6,20210523T080000_6
2021-05-23T15:59:49.209,0.989,-162.115,55.311,61000.0,0.198,0.376,-0.026,4.0,1,20210523T160000_1
2021-05-23T16:13:23.569,1.237,-162.117,55.136,29842.782,0.479,0.348,0.021,7.0,2,20210523T160000_2
2021-05-23T16:37:49.889,0.835,-161.99,55.217,30345.929,0.142,0.175,0.009,4.916,3,20210523T160000_3
2021-05-23T17:11:26.479,1.64,-161.466,54.904,28983.567,0.352,0.184,0.007,10.0,4,20210523T160000_4
